Next Page Token = CfDJ8ImuQD4OY2pEnVW2WQ-kgnffj5hbsesitZyrC63IR5-Mrp0I4U7Pz9l7m_cZLTZe2wzckSwFmR1doICTEyn7_Xo
  teamId  teamName                 submissionDate              score     
--------  -----------------------  --------------------------  --------  
16776812  Sh54                     2026-08-31 22:28:19.723000  0.880155  
16786397  DU_Extrapolation         2026-08-31 21:53:45.770000  0.877970  
16776831  ctrl:c+v                 2026-08-31 15:46:26.400000  0.877479  
16776810  DU_Neural                2026-08-31 16:40:29.926000  0.877460  
16776800  chorDATA                 2026-09-01 01:11:11.803000  0.877457  
16776866  Team Zurich              2026-08-31 23:22:51.636000  0.877239  
16776799  Attension_Seeker         2026-08-31 21:38:45.203000  0.877226  
16776854  Athena                   2026-08-31 19:42:54.026000  0.877195  
16776982  Outliers                 2026-08-31 18:53:17.110000  0.877188  
16778650  Team Quadron             2026-08-30 17:09:38.243000  0.877181  
16783987  Liverpool_Chelsea        2026-09-01 00:02:10.526000  0.877052  
16777109  Personal_Hellscape       2026-09-01 01:14:48.256000  0.877009  
16784709  Akkho                    2026-08-31 20:02:57.833000  0.876951  
16778563  Neural Nexus             2026-08-31 15:24:55.686000  0.876946  
16776815  StatPariNa               2026-08-31 18:07:43.073000  0.876847  
16776999  DU_Apricot               2026-08-31 04:42:24.476000  0.876826  
16790554  S                        2026-08-31 15:14:42.386000  0.876745  
16776996  Blind leading the blind  2026-09-01 01:19:22.666000  0.876684  
16776821  Byte Sized Murgis        2026-08-31 20:50:15.103000  0.876678  
16777372  Jayanta Datta            2026-09-01 01:09:37.473000  0.876675  
